Configuration,Regime,N,Accuracy (%),F1 (%),ROC-AUC
XGBoost only,High-VIX,8,87.5,93.3,N/A
XGBoost only,Low-VIX,228,53.9,66.2,0.491
XGBoost only,Overall,236,55.1,67.5,0.4846
LightGBM only,High-VIX,8,0.0,0.0,N/A
LightGBM only,Low-VIX,228,47.8,58.5,0.4703
LightGBM only,Overall,236,46.2,56.9,0.4612
Random Forest only,High-VIX,8,62.5,76.9,N/A
Random Forest only,Low-VIX,228,49.1,54.3,0.4791
Random Forest only,Overall,236,49.6,55.4,0.4827
CatBoost only,High-VIX,8,25.0,40.0,N/A
CatBoost only,Low-VIX,228,47.8,58.0,0.4374
CatBoost only,Overall,236,47.0,57.3,0.4283
BiLSTM+Attention only,High-VIX,8,12.5,22.2,N/A
BiLSTM+Attention only,Low-VIX,228,51.3,51.5,0.4897
BiLSTM+Attention only,Overall,236,50.0,50.4,0.4749
BiLSTM (no attention),High-VIX,8,0.0,0.0,N/A
BiLSTM (no attention),Low-VIX,228,55.7,53.5,0.5671
BiLSTM (no attention),Overall,236,53.8,51.6,0.5479
Stack (trees only),High-VIX,8,100.0,100.0,N/A
Stack (trees only),Low-VIX,228,65.8,79.4,0.5264
Stack (trees only),Overall,236,66.9,80.2,0.5348
Stack (full),High-VIX,8,100.0,100.0,N/A
Stack (full),Low-VIX,228,63.6,77.3,0.5435
Stack (full),Overall,236,64.8,78.2,0.5402
